TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Patterns of Subjective Deprivation in Adulthood.","Bortner, R.W.; Hultsch, D.F.","1974"
"A Multivariate Analysis of Correlates of Life Satisfaction in Adulthood.","Bortner, R.W.; Hultsch, D.F.","1970"
"Osobowosciowe Determinanty Efektywnosci Przystosowawcej w Malej Izolowanej Grupie Zadaniowej.","Borucki, Z.","1981"
"Residential Choice and Control among Spinal Cord Injured Young Adults.","Boschen, K.A.","1984"
"An Attitude Study of Multi-Accident Omnibus Drivers.","Bose, S.; DasGupta, S.C.; Roy, K.P.","1969"
"Memory, Related Functions and Age.","Botwinick, J.; Storandt, M.","1974"
"Further Evidence of the Relation of the Euphoric Attitude to Sleep and Exercise.","Bousfield, W.A.","1938"
"Single Parents in the U.S. Airforce.","Bowen, G.L.; Orthner, D.K.","1986"
"Associations with Life Satisfaction among Very Elderly People Living in a Deprived Part of Inner London.","Bowling, A.P.","1990"
"Risk Factors for Mortality after Bereavement: A Logistic Regression Analysis.","Bowling, A.P.; Charlton, J.","1987"
"Stabilität und Wandel Individuelle Wohlfahrt: Panel Ergebnisse.","Brachtl, W.; Zapf, W.","1984"
"The Structure of Psychological Well-Being.","Bradburn, N.M.","1969"
"Reports on Happiness. A Pilot Study of Behavior Related to Mental Health.","Bradburn, N.M.; Caplovitz, D.","1965"
"A Study of Guilt and Anxiety as Related to Certain Psychological Variables.","Bradbury, B.R.","1967"
"The Relationship between Differences in Stages of Homosexual Identity Formation and Background Characteristics, Psychological Well-Being and Homosexual Adjustment.","Brady, S.M.","1983"
"Emotional Responses to Other Persons in Everyday Life Situations.","Brandstätter, H.","1983"
"Alltagsereignisse und Wohlbefinden.","Brandstätter, H.","1991"
"Beruf `Hausfrau`. Eine psychologische Studie mit dem Zeitstichproben-Tagebuch.","Brandstätter, H.; Barthel, E.; Fünfgelt, V.","1984"
"The Concept of Welfare.","Brandt, R.B.","1966"
"Life Adjustment and Relocation of the Elderly.","Brand, F.N.; Smith, R.T.","1974"
"On Life Satisfaction, Occupational Roles, and Activity Preferences.","Bränholm, I.B.","1992"
"On Work and Life Satisfaction.","Bränholm, I.B.; Eklund, M.; Fugl-Meyer, A.R.; Fugl-Meyer, K.S.","1991"
"Occupational Role Preferences and Life Satisfaction.","Bränholm, I.B.; Fugl-Meyer, A.R.","1992"
